State,  Time, Number_of _Trial
0 0 0 0 0 0 0 0	0	0
0.0001 0.0079 0.0001 0.0079 0 0 0 0	0.02	4
0.0003 0.0158 0.0003 0.0158 0 0 0 0	0.04	4
0.0005  0.008 0.0005 0.0079 0 0 0 0	0.06	5
0.0006 0.0002 0.0006      0 0 0 0 0	0.08	4
 0.0004 -0.0234  0.0004 -0.0237 0 0 0 0	0.1	6
 0.0002  0.0001  0.0002 -0.0003 0 0 0 0	0.12	5
 0.0001 -0.0078  0.0001 -0.0082 0 0 0 0	0.14	5
-0.0001 -0.0157 -0.0001 -0.0161 0 0 0 0	0.16	2
-0.0002  0.0078 -0.0002  0.0075 0 0 0 0	0.18	4
     0 0.0157      0 0.0154 0 0 0 0	0.2	5
-0.0001 -0.0236 -0.0001 -0.0239 0 0 0 0	0.22	5
-0.0005 -0.0159 -0.0005 -0.0161 0 0 0 0	0.24	5
-0.0004  0.0234 -0.0004  0.0233 0 0 0 0	0.26	4
-0.0002 -0.0001 -0.0002 -0.0001 0 0 0 0	0.28	5
     0 0.0235      0 0.0235 0 0 0 0	0.3	4
0.0002      0 0.0002      0 0 0 0 0	0.32	6
 0.0001 -0.0079  0.0001 -0.0079 0 0 0 0	0.34	5
0.0002 0.0157 0.0002 0.0156 0 0 0 0	0.36	7
 0.0003 -0.0078  0.0003  -0.008 0 0 0 0	0.38	6
0.0004 0.0158 0.0004 0.0155 0 0 0 0	0.4	5
0.0006  0.008 0.0006 0.0076 0 0 0 0	0.42	6
 0.0004 -0.0313  0.0004 -0.0318 0 0 0 0	0.44	4
0.0002 0.0079 0.0002 0.0073 0 0 0 0	0.46	4
 0.0001 -0.0157  0.0001 -0.0163 0 0 0 0	0.48	5
0.0002 0.0236 0.0002 0.0229 0 0 0 0	0.5	5
 0.0004  0.0001  0.0004 -0.0007 0 0 0 0	0.52	4
      0 -0.0392       0 -0.0401 0 0 0 0	0.54	4
-0.0007 -0.0315 -0.0007 -0.0324 0 0 0 0	0.56	5
-0.0011 -0.0081 -0.0011 -0.0088 0 0 0 0	0.58	6
-0.0009  0.0312 -0.0009  0.0307 0 0 0 0	0.6	6
-0.0004  0.0235 -0.0004  0.0231 0 0 0 0	0.62	3
-0.0002       0 -0.0002 -0.0003 0 0 0 0	0.64	4
     0 0.0236      0 0.0233 0 0 0 0	0.66	5
 0.0001 -0.0156  0.0001 -0.0159 0 0 0 0	0.68	5
-0.0001 -0.0078 -0.0001 -0.0081 0 0 0 0	0.7	5
-0.0002       0 -0.0002 -0.0002 0 0 0 0	0.72	6
     0 0.0236      0 0.0234 0 0 0 0	0.74	4
 0.0001 -0.0156  0.0001 -0.0158 0 0 0 0	0.76	4
-0.0001 -0.0078 -0.0001  -0.008 0 0 0 0	0.78	3
0.0001 0.0315 0.0001 0.0313 0 0 0 0	0.8	5
0.0005 0.0081 0.0005 0.0078 0 0 0 0	0.82	7
 0.0006  0.0003  0.0006 -0.0001 0 0 0 0	0.84	5
 0.0004 -0.0233  0.0004 -0.0238 0 0 0 0	0.86	5
      0 -0.0156       0 -0.0161 0 0 0 0	0.88	5
-0.0001  0.0079 -0.0001  0.0074 0 0 0 0	0.9	5
-0.0002 -0.0157 -0.0002 -0.0161 0 0 0 0	0.92	6
-0.0001  0.0236 -0.0001  0.0232 0 0 0 0	0.94	4
      0 -0.0156       0  -0.016 0 0 0 0	0.96	6
-0.0002 -0.0078 -0.0002 -0.0082 0 0 0 0	0.98	5
-0.0004 -0.0157 -0.0004  -0.016 0 0 0 0	1	6
-0.000299931       0.0236      -0.0003       0.0233 1 0 0 0	1.02	6
0.000400007      0.0473      0.0004       0.047 1 0 0 0	1.04	8
0.00130004     0.0397     0.0013     0.0392 1 0 0 0	1.06	9
0.00200003      0.032      0.002     0.0312 1 0 0 0	1.08	9
0.00300002     0.0715      0.003     0.0702 1 0 0 0	1.1	6
0.00400001     0.0325      0.004     0.0305 1 0 0 0	1.12	10
0.00440001      0.009     0.0044     0.0062 1 0 0 0	1.14	10
0.00480002     0.0326     0.0048     0.0289 1 0 0 0	1.16	7
0.00570005     0.0563     0.0056     0.0516 1 0 0 0	1.18	7
0.00670004     0.0487     0.0065     0.0428 1 0 0 0	1.2	9
0.00760001      0.041     0.0073     0.0338 1 0 0 0	1.22	9
0.00820005     0.0176     0.0077     0.0089 1 0 0 0	1.24	10
0.00880003     0.0412     0.0081      0.031 1 0 0 0	1.26	7
0.00940001     0.0177     0.0085     0.0059 1 0 0 0	1.28	10
0.00950003    -0.0059     0.0084    -0.0193 1 0 0 0	1.3	10
0.00960004     0.0176     0.0082     0.0026 1 0 0 0	1.32	7
 0.0097  -0.006   0.008 -0.0226 1 0 0 0	1.34	10
 0.0097  0.0018  0.0076 -0.0164 1 0 0 0	1.36	8
0.00950003    -0.0219      0.007    -0.0415 1 0 0 0	1.38	10
0.00880003    -0.0457     0.0059    -0.0666 1 0 0 0	1.4	10
0.00760001    -0.0696     0.0043    -0.0915 1 0 0 0	1.42	10
0.00640005    -0.0465     0.0027     -0.069 1 0 0 0	1.44	7
 0.0054 -0.0547  0.0012 -0.0776 1 0 0 0	1.46	9
0.00390005    -0.0944    -0.0008    -0.1174 1 0 0 0	1.48	11
 0.0018 -0.1186 -0.0034 -0.1412 1 0 0 0	1.5	10
-0.000800014      -0.1429      -0.0065      -0.1645 1 0 0 0	1.52	10
-0.00389993     -0.1673       -0.01     -0.1873 1 0 0 0	1.54	10
-0.0072 -0.1604 -0.0137  -0.178 1 0 0 0	1.56	8
-0.0105 -0.1692 -0.0173 -0.1837 1 0 0 0	1.58	9
-0.0139999     -0.178     -0.021    -0.1887 1 0 0 0	1.6	9
-0.0178 -0.2025  -0.025 -0.2087 1 0 0 0	1.62	10
-0.0221 -0.2271 -0.0294  -0.228 1 0 0 0	1.64	10
-0.0267 -0.2361  -0.034 -0.2308 1 0 0 0	1.66	9
-0.0314 -0.2294 -0.0385  -0.217 1 0 0 0	1.68	8
-0.0361999    -0.2541     -0.043    -0.2337 1 0 0 0	1.7	10
-0.0414 -0.2631 -0.0477 -0.2338 1 0 0 0	1.72	9
-0.0468999    -0.2879    -0.0525    -0.2487 1 0 0 0	1.74	10
-0.0529 -0.3127 -0.0576 -0.2627 1 0 0 0	1.76	10
-0.0594 -0.3376  -0.063 -0.2758 1 0 0 0	1.78	10
-0.0662 -0.3468 -0.0685 -0.2721 1 0 0 0	1.8	2
-0.0727999    -0.3088    -0.0734    -0.2202 1 0 0 0	1.82	6
-0.0791 -0.3177 -0.0777 -0.2143 1 0 0 0	1.84	9
-0.0855 -0.3266 -0.0819 -0.2075 1 0 0 0	1.86	9
-0.0921 -0.3355  -0.086 -0.1999 1 0 0 0	1.88	9
-0.0986 -0.3129 -0.0896   -0.16 1 0 0 0	1.9	7
-0.1045 -0.2743 -0.0922 -0.1036 1 0 0 0	1.92	6
-0.1099 -0.2669  -0.094 -0.0779 1 0 0 0	1.94	7
-0.1153 -0.2751 -0.0955 -0.0675 1 0 0 0	1.96	9
-0.1207 -0.2675 -0.0966 -0.0411 1 0 0 0	1.98	8
-0.1264  -0.307 -0.0976 -0.0615 1 0 0 0	2	11
-0.1326 -0.3151 -0.0987 -0.0504 1 0 0 0	2.02	9
-0.1388 -0.3074 -0.0994 -0.0233 1 0 0 0	2.04	8
-0.1452 -0.3311 -0.0999 -0.0274 1 0 0 0	2.06	10
-0.1522 -0.3705 -0.1006 -0.0472 1 0 0 0	2.08	11
-0.1598 -0.3943 -0.1016 -0.0512 1 0 0 0	2.1	10
-0.1679 -0.4181 -0.1027  -0.055 1 0 0 0	2.12	10
-0.1763 -0.4262 -0.1037 -0.0428 1 0 0 0	2.14	9
-0.1849 -0.4342 -0.1044 -0.0304 1 0 0 0	2.16	9
-0.1935 -0.4264 -0.1047 -0.0021 1 0 0 0	2.18	8
-0.2021 -0.4342 -0.1046  0.0106 1 0 0 0	2.2	9
 -0.211 -0.4577 -0.1044  0.0076 1 0 0 0	2.22	10
-0.2204 -0.4812 -0.1043  0.0046 1 0 0 0	2.24	10
-0.2304 -0.5205 -0.1044 -0.0142 1 0 0 0	2.26	11
-0.2406 -0.4969 -0.1042  0.0299 1 0 0 0	2.28	7
-0.2508 -0.5203 -0.1036  0.0269 1 0 0 0	2.3	10
-0.2613  -0.528 -0.1029  0.0395 1 0 0 0	2.32	9
-0.2723 -0.5671 -0.1023  0.0205 1 0 0 0	2.34	11
-0.2839 -0.5906 -0.1019  0.0171 1 0 0 0	2.36	10
-0.2958 -0.5983 -0.1014  0.0293 1 0 0 0	2.38	9
-0.3082 -0.6374  -0.101    0.01 1 0 0 0	2.4	11
-0.3212 -0.6609 -0.1008  0.0063 1 0 0 0	2.42	10
-0.3342 -0.6372 -0.1002  0.0497 1 0 0 0	2.44	7
 -0.347 -0.6448 -0.0991  0.0617 1 0 0 0	2.46	9
-0.3601  -0.668 -0.0979  0.0578 1 0 0 0	2.48	10
-0.3737 -0.6913 -0.0968  0.0536 1 0 0 0	2.5	10
-0.3878 -0.7146 -0.0958  0.0492 1 0 0 0	2.52	10
-0.4025 -0.7536  -0.095  0.0289 1 0 0 0	2.54	11
-0.4178  -0.777 -0.0945  0.0241 1 0 0 0	2.56	10
-0.4337 -0.8162 -0.0942  0.0034 1 0 0 0	2.58	11
-0.4503 -0.8397 -0.0942 -0.0017 1 0 0 0	2.6	10
-0.4669 -0.8161 -0.0938  0.0404 1 0 0 0	2.62	7
-0.4835 -0.8395  -0.093  0.0354 1 0 0 0	2.64	10
-0.5007 -0.8786 -0.0925  0.0145 1 0 0 0	2.66	11
-0.5183 -0.8863 -0.0921  0.0249 1 0 0 0	2.68	9
-0.5356 -0.8468  -0.091  0.0824 1 0 0 0	2.7	6
-0.5526 -0.8542 -0.0892  0.0927 1 0 0 0	2.72	8
-0.5693 -0.8144 -0.0868  0.1498 1 0 0 0	2.74	6
 -0.586 -0.8529  -0.084   0.128 1 0 0 0	2.76	10
-0.6033 -0.8758 -0.0815  0.1213 1 0 0 0	2.78	10
-0.6212 -0.9145 -0.0793  0.0984 1 0 0 0	2.8	11
-0.6396 -0.9218 -0.0773  0.1064 1 0 0 0	2.82	9
-0.6584 -0.9606 -0.0754  0.0826 1 0 0 0	2.84	11
-0.6778 -0.9838 -0.0738  0.0741 1 0 0 0	2.86	10
-0.6972 -0.9598 -0.0719  0.1124 1 0 0 0	2.88	7
-0.7163 -0.9513 -0.0694  0.1347 1 0 0 0	2.9	1
-0.7351  -0.927 -0.0663  0.1723 1 0 0 0	2.92	1
-0.7534 -0.9025 -0.0625  0.2094 1 0 0 0	2.94	1
-0.7718 -0.9408 -0.0586   0.183 1 0 0 0	2.96	5
-0.7904 -0.9163 -0.0546  0.2187 1 0 0 0	2.98	8
-0.8086 -0.9073   -0.05   0.238 1 0 0 0	3	8
-0.8263 -0.8667 -0.0447  0.2879 1 0 0 0	3.02	5
-0.8432 -0.8259 -0.0385  0.3369 1 0 0 0	3.04	6
-0.8599 -0.8478 -0.0319  0.3219 1 0 0 0	3.06	9
-0.8768 -0.8383 -0.0253   0.337 1 0 0 0	3.08	8
-0.8933  -0.813 -0.0183  0.3666 1 0 0 0	3.1	7
-0.9096  -0.819  -0.011  0.3634 1 0 0 0	3.12	9
 -0.926  -0.825 -0.0038  0.3588 1 0 0 0	3.14	9
-0.9427 -0.8468  0.0032  0.3371 1 0 0 0	3.16	10
-0.9597  -0.853  0.0099  0.3296 1 0 0 0	3.18	9
-0.977 -0.875 0.0162 0.3051 1 0 0 0	3.2	10
-0.9942 -0.8499  0.0225  0.3264 1 0 0 0	3.22	7
-1.0114 -0.8719  0.0288  0.2994 1 0 0 0	3.24	10
-1.0291  -0.894  0.0345  0.2711 1 0 0 0	3.26	10
-1.0472 -0.9163  0.0396  0.2416 1 0 0 0	3.28	10
-1.0656  -0.923  0.0443  0.2267 1 0 0 0	3.3	9
-1.0843 -0.9455  0.0485  0.1951 1 0 0 0	3.32	10
-1.1036 -0.9839  0.0519  0.1468 1 0 0 0	3.34	11
-1.1235 -1.0068  0.0545  0.1135 1 0 0 0	3.36	10
-1.1439 -1.0299  0.0564  0.0795 1 0 0 0	3.38	10
-1.1646 -1.0374  0.0578  0.0608 1 0 0 0	3.4	9
-1.1857 -1.0765  0.0585  0.0103 1 0 0 0	3.42	11
-1.2073 -1.0843  0.0585  -0.009 1 0 0 0	3.44	9
-1.2291 -1.0922  0.0581 -0.0284 1 0 0 0	3.46	9
 -1.251 -1.1002  0.0573 -0.0478 1 0 0 0	3.48	9
-1.2731 -1.1083  0.0562 -0.0671 1 0 0 0	3.5	9
-1.2953 -1.1165  0.0547 -0.0862 1 0 0 0	3.52	9
 -1.318 -1.1563  0.0525 -0.1365 1 0 0 0	3.54	11
-1.3409 -1.1334  0.0499 -0.1236 1 0 0 0	3.56	7
-1.3633 -1.1104  0.0476 -0.1102 1 0 0 0	3.58	7
-1.3857 -1.1346  0.0451 -0.1435 1 0 0 0	3.6	10
-1.4086 -1.1589  0.0419 -0.1764 1 0 0 0	3.62	10
 -1.432 -1.1834   0.038 -0.2088 1 0 0 0	3.64	10
-1.4559 -1.2081  0.0335 -0.2405 1 0 0 0	3.66	10
